time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
21.7160,198,BL,5,-0.19459,0.13586,0.30782,132,132,132,0.28669,-0.15604,0.13846,1,1,0.450
21.7160,198,FR,27,0.36382,-0.14269,0.30005,134,134,134,0.27895,0.46056,-0.15773,1,1,0.450
21.7160,198,BR,20,-0.07311,-0.13375,0.29947,134,134,134,0.27837,-0.01359,-0.13668,1,1,0.450
21.7260,199,FL,11,0.24545,0.14526,0.30151,134,134,134,0.28041,0.36757,0.16378,1,1,0.450
21.7260,199,BL,4,-0.19478,0.13527,0.30852,131,131,131,0.28739,-0.15881,0.13761,1,1,0.450
21.7260,199,FR,26,0.36203,-0.14267,0.30007,134,134,134,0.27896,0.45324,-0.15842,1,1,0.450
21.7260,199,BR,19,-0.07485,-0.13404,0.29952,134,134,134,0.27842,-0.02056,-0.13782,1,1,0.450
21.7360,199,FL,11,0.24588,0.14591,0.30154,134,134,134,0.28043,0.37199,0.16513,1,1,0.450
21.7360,199,BL,4,-0.19477,0.13484,0.30880,131,131,131,0.28767,-0.15640,0.13753,1,1,0.450
21.7360,199,FR,26,0.36697,-0.14188,0.30001,134,134,134,0.27891,0.46769,-0.15814,1,1,0.450
21.7360,199,BR,19,-0.07224,-0.13294,0.29950,134,134,134,0.27840,-0.01047,-0.13702,1,1,0.450
21.7460,199,FL,11,0.24454,0.14557,0.30198,134,134,134,0.28087,0.36789,0.16496,1,1,0.450
21.7460,199,BL,4,-0.19502,0.13436,0.30991,131,131,131,0.28877,-0.15923,0.13667,1,1,0.450
21.7460,199,FR,26,0.36503,-0.14192,0.30007,134,134,134,0.27896,0.46417,-0.15800,1,1,0.450
21.7460,199,BR,19,-0.07410,-0.13351,0.29953,134,134,134,0.27843,-0.01351,-0.13743,1,1,0.450
21.7540,200,FL,10,0.24527,0.14540,0.30228,134,134,134,0.28117,0.37152,0.16505,1,1,0.450
21.7540,200,BL,3,-0.19498,0.13397,0.31077,131,131,131,0.28964,-0.15717,0.13596,1,1,0.450
21.7540,200,FR,25,0.36881,-0.14183,0.30007,134,134,134,0.27897,0.46763,-0.15865,1,1,0.450
21.7540,200,BR,18,-0.07186,-0.13372,0.29963,134,134,134,0.27853,-0.01208,-0.13838,1,1,0.450
21.7640,200,FL,10,0.24359,0.14606,0.30240,134,134,134,0.28129,0.36768,0.16623,1,1,0.450
21.7640,200,BL,3,-0.19519,0.13359,0.31104,131,131,131,0.28990,-0.15973,0.13580,1,1,0.450
21.7640,200,FR,25,0.36733,-0.14119,0.30002,134,134,134,0.27892,0.47006,-0.15866,1,1,0.450
21.7640,200,BR,18,-0.07387,-0.13268,0.29959,134,134,134,0.27849,-0.01159,-0.13791,1,1,0.450
21.7740,200,FL,10,0.24380,0.14578,0.30273,134,134,134,0.28162,0.37030,0.16603,1,1,0.450
21.7740,200,BL,3,-0.19529,0.13318,0.31181,131,131,131,0.29067,-0.15862,0.13511,1,1,0.450
21.7740,200,FR,25,0.37033,-0.14123,0.30006,134,134,134,0.27896,0.47647,-0.15845,1,1,0.450
21.7740,200,BR,18,-0.07225,-0.13329,0.29963,134,134,134,0.27853,-0.00675,-0.13823,1,1,0.450
21.7840,201,FL,9,0.24248,0.14565,0.30308,134,134,134,0.28197,0.36627,0.16592,1,1,0.450
21.7840,201,BL,2,-0.19545,0.13289,0.31263,131,131,131,0.29149,-0.16136,0.13439,1,1,0.450
21.7840,201,FR,24,0.36811,-0.14134,0.30008,134,134,134,0.27898,0.46870,-0.15938,1,1,0.450
21.7840,201,BR,17,-0.07433,-0.13361,0.29972,134,134,134,0.27862,-0.01013,-0.13864,1,1,0.450
21.7940,201,FL,9,0.24191,0.14635,0.30314,134,134,134,0.28203,0.36763,0.16713,1,1,0.450
21.7940,201,BL,2,-0.19554,0.13261,0.31268,131,131,131,0.29154,-0.16053,0.13437,1,1,0.450
21.7940,201,FR,24,0.37042,-0.14069,0.30000,134,134,134,0.27890,0.47936,-0.15939,1,1,0.450
21.7940,201,BR,17,-0.07388,-0.13248,0.29968,134,134,134,0.27858,-0.00754,-0.13904,1,1,0.450
21.8040,201,FL,9,0.24079,0.14619,0.30363,134,134,134,0.28251,0.36362,0.16678,1,1,0.450
21.8040,201,BL,2,-0.19553,0.13248,0.31368,131,131,131,0.29254,-0.16302,0.13393,1,1,0.450
21.8040,201,FR,24,0.36794,-0.14093,0.30007,134,134,134,0.27896,0.47568,-0.15953,1,1,0.450
21.8040,201,BR,17,-0.07606,-0.13298,0.29976,134,134,134,0.27865,-0.01118,-0.13949,1,1,0.450
21.8120,201,FL,9,0.24028,0.14624,0.30365,134,134,134,0.28253,0.36466,0.16661,1,1,0.450
21.8140,201,BL,2,-0.19570,0.13237,0.31365,131,131,131,0.29250,-0.16334,0.13401,1,1,0.450
21.8140,201,FR,24,0.36929,-0.14116,0.30006,134,134,134,0.27896,0.47984,-0.15975,1,1,0.450
21.8140,201,BR,17,-0.07578,-0.13319,0.29980,134,134,134,0.27870,-0.00861,-0.13987,1,1,0.450
21.8220,202,FL,8,0.23925,0.14614,0.30370,134,134,134,0.28259,0.36125,0.16639,1,1,0.450
21.8240,202,BL,1,-0.19577,0.13231,0.31385,131,131,131,0.29271,-0.16565,0.13380,1,1,0.450
21.8240,202,FR,23,0.36719,-0.14142,0.30008,134,134,134,0.27897,0.47215,-0.16094,1,1,0.450
21.8240,202,BR,16,-0.07769,-0.13341,0.29984,134,134,134,0.27874,-0.01174,-0.14026,1,1,0.450
21.8420,202,FL,8,0.23853,0.14709,0.30379,134,134,134,0.28268,0.36024,0.16744,1,1,0.450
21.8440,202,BL,1,-0.19568,0.13226,0.31411,131,131,131,0.29297,-0.16545,0.13452,1,1,0.450
21.8440,202,FR,23,0.36787,-0.14107,0.30005,134,134,134,0.27895,0.47455,-0.16605,1,1,0.450
21.8440,202,BR,16,-0.07838,-0.13200,0.29985,134,134,134,0.27875,-0.01138,-0.14006,1,1,0.450
21.8520,203,FL,7,0.23699,0.14717,0.30334,134,134,134,0.28223,0.35719,0.16707,1,1,0.450
21.8520,203,BL,30,0.03877,0.13200,0.29988,134,134,134,0.27878,0.10339,0.13477,1,1,0.450
21.8520,203,FR,22,0.36532,-0.14135,0.29994,134,134,134,0.27884,0.47062,-0.16583,1,1,0.450
21.8520,203,BR,15,-0.08136,-0.13199,0.29988,134,134,134,0.27877,-0.01349,-0.14051,1,1,0.450
21.8620,203,FL,7,0.23425,0.14817,0.30344,134,134,134,0.28233,0.35216,0.16798,1,1,0.450
21.8620,203,BL,30,0.03587,0.13142,0.29986,134,134,134,0.27876,0.09763,0.12809,1,1,0.450
21.8620,203,FR,22,0.36226,-0.14110,0.29997,134,134,134,0.27887,0.46984,-0.16921,1,1,0.450
21.8620,203,BR,15,-0.08489,-0.13039,0.29974,134,134,134,0.27864,-0.01790,-0.14032,1,1,0.450
21.8720,203,FL,7,0.23439,0.14804,0.30364,134,134,134,0.28253,0.35227,0.16771,1,1,0.450
21.8720,203,BL,30,0.03672,0.13134,0.29988,134,134,134,0.27878,0.10106,0.12797,1,1,0.450
21.8720,203,FR,22,0.36200,-0.14115,0.29994,134,134,134,0.27884,0.47163,-0.16884,1,1,0.450
21.8720,203,BR,15,-0.08541,-0.13049,0.29978,134,134,134,0.27868,-0.01788,-0.14035,1,1,0.450
21.8800,204,FL,6,0.23292,0.14796,0.30381,134,134,134,0.28269,0.34837,0.16757,1,1,0.450
21.8800,204,BL,29,0.03408,0.13128,0.29988,134,134,134,0.27878,0.09424,0.12801,1,1,0.450
