map_stamp,frame,cell_i,cell_j,x,y,z_raw,z_inpainted,z_smooth,slope,roughness,hole_mask_recon,hole_mask_filtered,traversability,traversability_mask,observed,inside_map,binary_safe
0,map,51,50,5.5750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,52,50,5.5250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,53,50,5.4750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,54,50,5.4250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,55,50,5.3750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,56,50,5.3250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,57,50,5.2750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,58,50,5.2250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,59,50,5.1750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,60,50,5.1250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,61,50,5.0750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,62,50,5.0250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,63,50,4.9750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,64,50,4.9250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,65,50,4.8750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,66,50,4.8250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,67,50,4.7750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,68,50,4.7250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,69,50,4.6750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,70,50,4.6250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,71,50,4.5750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,72,50,4.5250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,73,50,4.4750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,74,50,4.4250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,75,50,4.3750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,76,50,4.3250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,77,50,4.2750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,78,50,4.2250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,79,50,4.1750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,80,50,4.1250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,81,50,4.0750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,82,50,4.0250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,83,50,3.9750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,84,50,3.9250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,85,50,3.8750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,86,50,3.8250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,87,50,3.7750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,88,50,3.7250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,89,50,3.6750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,90,50,3.6250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,91,50,3.5750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,92,50,3.5250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,93,50,3.4750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,94,50,3.4250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,95,50,3.3750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,96,50,3.3250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,97,50,3.2750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,98,50,3.2250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
