time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
24.9540,333,FL,27,0.46202,0.15644,0.30004,134,134,134,0.27894,0.57969,0.17013,1,1,0.450
24.9540,333,BL,20,0.01359,0.14881,0.29972,134,134,134,0.27862,0.08735,0.14673,1,1,0.450
24.9540,333,FR,12,0.32931,-0.12335,0.30115,134,134,134,0.28004,0.46084,-0.14880,1,1,0.450
24.9540,333,BR,5,-0.12610,-0.11456,0.30272,134,134,134,0.28161,-0.05378,-0.11118,1,1,0.450
24.9640,334,FL,26,0.46173,0.15721,0.30004,134,134,134,0.27894,0.57424,0.17156,1,1,0.450
24.9640,334,BL,19,0.01331,0.14986,0.29977,134,134,134,0.27867,0.08191,0.14862,1,1,0.450
24.9640,334,FR,11,0.32896,-0.12269,0.30136,134,134,134,0.28026,0.45999,-0.14792,1,1,0.450
24.9640,334,BR,4,-0.12622,-0.11393,0.30343,134,134,134,0.28232,-0.05449,-0.10981,1,1,0.450
24.9740,334,FL,26,0.46264,0.15719,0.29999,134,134,134,0.27889,0.58196,0.17207,1,1,0.450
24.9740,334,BL,19,0.01371,0.14947,0.29979,134,134,134,0.27869,0.08687,0.14855,1,1,0.450
24.9740,334,FR,11,0.32910,-0.12273,0.30148,134,134,134,0.28037,0.46104,-0.14813,1,1,0.450
24.9740,334,BR,4,-0.12634,-0.11349,0.30376,134,134,134,0.28265,-0.05414,-0.10920,1,1,0.450
24.9840,334,FL,26,0.46211,0.15801,0.30003,134,134,134,0.27893,0.58112,0.17270,1,1,0.450
24.9840,334,BL,19,0.01315,0.15073,0.29979,134,134,134,0.27869,0.08636,0.14988,1,1,0.450
24.9840,334,FR,11,0.32835,-0.12210,0.30177,134,134,134,0.28066,0.45972,-0.14709,1,1,0.450
24.9840,334,BR,4,-0.12657,-0.11300,0.30442,134,134,134,0.28331,-0.05533,-0.10790,1,1,0.450
24.9960,335,FL,25,0.46252,0.15866,0.30003,134,134,134,0.27893,0.57718,0.17408,1,1,0.450
24.9960,335,BL,18,0.01330,0.15160,0.29984,134,134,134,0.27874,0.08201,0.15173,1,1,0.450
24.9960,335,FR,10,0.32819,-0.12162,0.30194,134,134,134,0.28083,0.45988,-0.14635,1,1,0.450
24.9960,335,BR,3,-0.12668,-0.11256,0.30489,133,133,133,0.28377,-0.05541,-0.10672,1,1,0.450
25.0080,335,FL,25,0.46183,0.15890,0.29997,134,134,134,0.27887,0.58219,0.17490,1,1,0.450
25.0080,335,BL,18,0.01241,0.15150,0.29986,134,134,134,0.27876,0.08471,0.15215,1,1,0.450
25.0080,335,FR,10,0.32752,-0.12169,0.30209,134,134,134,0.28098,0.45877,-0.14628,1,1,0.450
25.0080,335,BR,3,-0.12688,-0.11223,0.30515,133,133,133,0.28403,-0.05657,-0.10603,1,1,0.450
25.0300,336,FL,24,0.46131,0.15966,0.30001,134,134,134,0.27891,0.57688,0.17641,1,1,0.450
